District,Teachers,2013-14,2017-18,2018-19
Mccabe Union Elementary (Imperial),57,65553,75182,79557
Holtville Unified (Imperial),101,67441,75166,78977
San Pasqual Valley Unified (Imperial),52,64587,76270,78969
Westmorland Union Elementary (Imperial),22,61913,72094,72724
Imperial County Office of Ed. (Imperial),75,62395,69731,71652
Bishop Unified (Inyo),106,67229,73467,75139
Owens Valley Unified (Inyo),8,0,71815,74660
Lone Pine Unified (Inyo),15,63479,71129,74324
Big Pine Unified (Inyo),16,63641,66680,64713
Round Valley Joint Elementary (Inyo),9,53218,58700,61448
Death Valley Unified (Inyo),4,51112,62014,60636
Taft Union High (Kern),61,84737,89815,88610
Kern Union High (Kern),1880,68624,76436,78259
Delano Union Elementary (Kern),330,64953,74947,77741
Panama-Buena Vista Union Elem. (Kern),890,68284,74220,76003
Greenfield Union Elementary (Kern),427,66310,74173,75729
Arvin Union Elementary (Kern),144,65770,72068,75658
Wasco Union High (Kern),85,66766,null,75513
Mcfarland Unified (Kern),154,61782,73030,74781
Richland Union Elementary (Kern),174,66167,72198,74644
Rosedale Union Elementary (Kern),281,65529,72117,73719
Bakersfield City Elementary (Kern),1750,63494,72033,73608
Mojave Unified (Kern),138,64387,74367,73594
Belridge Elementary (Kern),2,65797,66628,73190
Fruitvale Elementary (Kern),151,67317,72896,72769
Delano Joint Union High (Kern),207,60360,70163,72292
Standard Elementary (Kern),151,66932,67555,71363
Midway Elementary (Kern),6,65918,75340,70394
Southern Kern Unified (Kern),194,64083,65579,70140
Wasco Union Elementary (Kern),187,63931,67536,70053
Fairfax Elementary (Kern),139,60287,null,69963
Taft City Elementary (Kern),110,55539,66575,69273
Sierra Sands Unified (Kern),253,59420,63270,68495
Tehachapi Unified (Kern),202,62828,64378,68248
Kern County Office of Ed. (Kern),190,62049,65927,67937
Rio Bravo-Greeley Un Elementary (Kern),49,59534,66360,67464
Di Giorgio Elementary (Kern),11,0,66098,66410
Kernville Union Elementary (Kern),49,56540,63598,66006
Muroc Joint Unified (Kern),92,60903,63417,65787
Buttonwillow Union Elementary (Kern),19,50965,60304,65448
Beardsley Elementary (Kern),100,55788,64930,64553
Edison Elementary (Kern),55,57972,62989,64172
South Fork Union Elementary (Kern),13,56926,56999,57957
Blake Elementary (Kern),1,39080,53490,55235
Caliente Union Elementary (Kern),3,38490,42284,43236
Central Union Elementary (Kings),101,76400,83969,87956
Kit Carson Union Elementary (Kings),22,72879,79568,80405
Hanford Elementary (Kings),277,62241,76124,79650
Hanford Joint Union High (Kings),156,68428,76815,78722
Pioneer Union Elementary (Kings),70,66542,73524,75692
Corcoran Joint Unified (Kings),174,64174,72191,75061
Reef-Sunset Unified (Kings),138,61909,71576,73702
Armona Union Elementary (Kings),47,66360,73911,73553
Lemoore Union Elementary (Kings),159,63127,71278,73309
Lemoore Union High (Kings),116,63465,72546,73180
Island Union Elementary (Kings),19,0,null,68998
Kings County Office of Ed. (Kings),53,60204,65514,64188
Lakeside Union Elementary (Kings),17,0,58264,59720
Lake County Office of Ed. (Lake),4,59317,57883,62484
Lakeport Unified (Lake),86,57762,62918,62141
Upper Lake Unified (Lake),44,56279,60677,61487
Kelseyville Unified (Lake),119,59764,null,61193
Konocti Unified (Lake),176,54679,59310,61054
Middletown Unified (Lake),73,61495,58876,58871
Lucerne Elementary (Lake),15,55072,55968,57112
Lassen Union High (Lassen),36,61119,72735,71893
