District,Teachers,2013-14,2017-18,2018-19
Lincoln Unified (San Joaquin),490,65809,69459,75543
Oak View Union Elementary (San Joaquin),19,63586,72506,74901
Escalon Unified (San Joaquin),138,65734,73837,73832
Ripon Unified (San Joaquin),155,64303,69803,72732
Jefferson Elementary (San Joaquin),114,64392,76305,72470
Linden Unified (San Joaquin),111,0,69553,71593
Banta Elementary (San Joaquin),18,64223,67095,71229
Lammersville Joint Unified (San Joaquin),260,55820,65580,69595
San Joaquin County Office of Ed. (San Joaquin),262,61809,64347,64728
New Jerusalem Elementary (San Joaquin),10,0,62267,63979
New Hope Elementary (San Joaquin),14,49476,57704,60975
San Luis Coastal Unified (San Luis Obispo),393,71525,75649,76948
Coast Unified (San Luis Obispo),41,68103,77006,75481
Paso Robles Joint Unified (San Luis Obispo),340,62545,72718,74121
San Luis Obispo Co. Office of Ed. (San Luis Obispo),33,65113,74876,73961
Templeton Unified (San Luis Obispo),122,62507,69203,70279
Lucia Mar Unified (San Luis Obispo),569,62800,68618,69127
Cayucos Elementary (San Luis Obispo),16,71208,67280,68697
Atascadero Unified (San Luis Obispo),245,65016,67640,67286
San Miguel Jt Union Elementary (San Luis Obispo),40,0,63937,65974
Pleasant Valley Jt Union Elem. (San Luis Obispo),6,58901,62604,60912
Shandon Joint Unified (San Luis Obispo),22,58336,59913,59886
San Mateo Union High (San Mateo),506,91599,105873,110144
Hillsborough City Elementary (San Mateo),109,91391,106374,109977
Woodside Elementary (San Mateo),42,90304,104901,109001
Las Lomitas Elementary (San Mateo),94,95830,105639,108265
Portola Valley Elementary (San Mateo),46,0,101829,106876
Sequoia Union High (San Mateo),574,87650,101580,105215
San Mateo County Office of Ed. (San Mateo),83,85419,76024,91609
Belmont-Redwood Shores Elem. (San Mateo),212,72223,85285,86816
San Carlos Elementary (San Mateo),164,74361,82156,85861
San Mateo-Foster City Elem. (San Mateo),566,67689,82872,85329
Millbrae Elementary (San Mateo),116,69160,79905,82192
Burlingame Elementary (San Mateo),177,69065,78513,81920
Redwood City Elementary (San Mateo),358,70822,77959,81144
Jefferson Elementary (San Mateo),297,63674,77468,78215
South San Francisco Unified (San Mateo),456,62602,75089,78059
Cabrillo Unified (San Mateo),152,0,null,73886
La Honda-Pescadero Unified (San Mateo),25,58546,70010,73203
Ravenswood City Elementary (San Mateo),138,60731,69622,72029
San Bruno Park Elementary (San Mateo),127,64788,70906,71509
Jefferson Union High (San Mateo),225,65205,68873,70369
Pacifica School District (San Mateo),130,59122,67912,69032
Montecito Union Elementary (Santa Barbara),35,99960,111603,115740
Ballard Elementary (Santa Barbara),8,87164,97766,101960
Cold Spring Elementary (Santa Barbara),14,0,91103,93988
Goleta Union Elementary (Santa Barbara),200,78135,87509,92447
Hope Elementary (Santa Barbara),44,75467,86760,89451
Santa Maria Joint Union High (Santa Barbara),401,76671,86628,88901
Santa Barbara Co. Office of Ed. (Santa Barbara),81,null,78523,84359
Santa Maria-Bonita Elementary (Santa Barbara),858,74999,82588,84340
Santa Ynez Valley Union High (Santa Barbara),40,72315,79918,83759
Guadalupe Union Elementary (Santa Barbara),68,76917,82856,83598
Lompoc Unified (Santa Barbara),449,0,76336,76881
Santa Barbara Unified (Santa Barbara),675,69726,76314,76685
Orcutt Union Elementary (Santa Barbara),242,73592,76649,75773
Los Olivos Elementary (Santa Barbara),11,57275,73916,75348
Carpinteria Unified (Santa Barbara),129,59935,null,72275
Buellton Union Elementary (Santa Barbara),46,0,67483,67907
Cuyama Joint Unified (Santa Barbara),15,59216,null,63848
Solvang Elementary (Santa Barbara),28,61486,62744,63704
Blochman Union Elementary (Santa Barbara),11,56368,57629,58553
Mountain View-Los Altos Un High (Santa Clara),259,null,132580,136478
Palo Alto Unified (Santa Clara),846,91841,109894,113022
Los Gatos-Saratoga Jt Union High (Santa Clara),187,97125,109866,112103
Santa Clara Unified (Santa Clara),885,78579,106910,111914
Fremont Union High (Santa Clara),486,80565,100941,107229
Los Gatos Union Elementary (Santa Clara),148,82359,99776,105197
Saratoga Union Elementary (Santa Clara),113,84470,100963,103758
Evergreen Elementary (Santa Clara),499,82899,94781,96244
Santa Clara County Office of Ed. (Santa Clara),170,77272,91667,95977
East Side Union High (Santa Clara),1149,80860,88797,94375
Franklin-Mckinley Elementary (Santa Clara),376,77848,88199,92055
Sunnyvale Elementary (Santa Clara),376,71220,88001,91857
Luther Burbank Elementary (Santa Clara),24,72027,null,91744
Cupertino Union Elementary (Santa Clara),809,76035,87945,90146
Milpitas Unified (Santa Clara),468,77522,87372,89916
Campbell Union Elementary (Santa Clara),395,71973,85584,89155
Alum Rock Union Elementary (Santa Clara),524,71708,87160,88855
Mountain View-Whisman Elementary (Santa Clara),289,109318,82977,88471
Berryessa Union Elementary (Santa Clara),327,69584,85386,87702
Union Elementary (Santa Clara),277,70912,84538,87144
Los Altos Elementary (Santa Clara),252,73795,86219,86976
Campbell Union High (Santa Clara),391,71459,82939,86460
Orchard Elementary (Santa Clara),44,67724,78906,86217
Cambrian Elementary (Santa Clara),173,77669,84472,85638
Oak Grove Elementary (Santa Clara),486,71179,82885,85351
Moreland Elementary (Santa Clara),228,73062,81312,84595
Morgan Hill Unified (Santa Clara),382,67099,78079,81305
Gilroy Unified (Santa Clara),516,69390,76424,80655
Mt. Pleasant Elementary (Santa Clara),120,66803,75027,78236
San Jose Unified (Santa Clara),1600,67386,76253,76442
Loma Prieta Joint Elementary (Santa Clara),30,64562,71005,72411
Santa Cruz City Schools (Santa Cruz),344,61840,76656,77764
Santa Cruz County Office of Ed. (Santa Cruz),68,null,71011,73561
San Lorenzo Valley Unified (Santa Cruz),124,63744,69495,71804
Live Oak Elementary (Santa Cruz),93,61586,70806,70653
Bonny Doon Elementary (Santa Cruz),8,58814,65652,66690
Pajaro Valley Joint Unified (Santa Cruz),1067,60890,null,66666
Soquel Elementary (Santa Cruz),101,63810,66740,66481
Happy Valley Elementary (Santa Cruz),7,62424,67034,65880
Scotts Valley Unified (Santa Cruz),112,59810,63898,63668
Shasta Union High (Shasta),209,66674,74504,76402
Enterprise Elementary (Shasta),197,63644,71166,74937
Grant Elementary (Shasta),32,64516,71376,73079
Anderson Union High (Shasta),91,63653,71004,69973
Redding Elementary (Shasta),148,60372,67696,68293
Black Butte Union Elementary (Shasta),13,55121,65020,67532
Columbia Elementary (Shasta),42,60439,65097,67279
Gateway Unified (Shasta),131,58374,67051,66373
Cascade Union Elementary (Shasta),56,58661,64431,66157
North Cow Creek Elementary (Shasta),13,0,67312,66118
Cottonwood Union Elementary (Shasta),46,64027,66734,65714
Fall River Joint Unified (Shasta),74,50990,61718,63568
Happy Valley Union Elementary (Shasta),28,0,62754,63083
Junction Elementary (Shasta),14,50119,60117,61690
Pacheco Union Elementary (Shasta),37,53184,59130,61401
Millville Elementary (Shasta),13,50569,57385,59869
"Igo, Ono, Platina Un Elementary (Shasta)",2,42045,54853,56998
Shasta Union Elementary (Shasta),8,47067,55905,56063
Oak Run Elementary (Shasta),4,0,40710,42132
Sierra-Plumas Joint Unified (Sierra),28,56544,60488,61814
Yreka Union High (Siskiyou),35,69899,78274,79891
Mt. Shasta Union Elementary (Siskiyou),31,59447,63668,67312
Siskiyou County Office of Ed. (Siskiyou),26,51868,62637,64329
Siskiyou Union High (Siskiyou),38,53892,null,61620
Mccloud Union Elementary (Siskiyou),3,53160,49233,56825
Dunsmuir Elementary (Siskiyou),4,50460,60907,56472
Scott Valley Unified (Siskiyou),39,54037,54945,56250
Butteville Union Elementary (Siskiyou),10,47515,54636,55800
Weed Union Elementary (Siskiyou),18,53724,null,55374
Delphic Elementary (Siskiyou),3,0,50823,50823
Hornbrook Elementary (Siskiyou),4,43898,47642,49815
Dunsmuir Joint Union High (Siskiyou),8,40071,47016,49723
Gazelle Union Elementary (Siskiyou),2,0,44475,45768
Little Shasta Elementary (Siskiyou),2,47917,38788,45620
Bogus Elementary (Siskiyou),1,44300,45939,40756
Benicia Unified (Solano),235,70449,77173,78947
Travis Unified (Solano),269,66104,71905,75320
Solano County Office of Ed. (Solano),64,0,71501,73866
Vallejo City Unified (Solano),485,59581,68442,71263
Fairfield-Suisun Unified (Solano),1051,65657,68925,70587
Vacaville Unified (Solano),623,63420,68239,67687
Dixon Unified (Solano),174,62463,68436,67529
Piner-Olivet Union Elementary (Sonoma),60,73188,73375,80098
Mark West Union Elementary (Sonoma),75,63769,74178,78488
Waugh Elementary (Sonoma),43,74130,79558,77969
Liberty Elementary (Sonoma),11,64044,74396,77395
Sonoma County Office of Ed. (Sonoma),88,65835,72238,75263
Santa Rosa City Schools (Sonoma),793,70341,73705,74869
Gravenstein Union Elementary (Sonoma),48,58345,69447,73494
Bellevue Union Elementary (Sonoma),78,64932,null,73094
Petaluma City Schools (Sonoma),373,64454,71194,72581
Oak Grove Union Elementary (Sonoma),45,0,68798,72313
Harmony Union Elementary (Sonoma),16,65073,null,72202
Wright Elementary (Sonoma),84,60537,68234,71841
Healdsburg Unified (Sonoma),84,65257,66270,70503
Rincon Valley Union Elementary (Sonoma),209,62254,68757,69193
Sebastopol Union Elementary (Sonoma),26,65999,70345,68670
Dunham Elementary (Sonoma),14,0,67450,68660
Bennett Valley Un Elementary (Sonoma),55,59460,66762,68432
Roseland Elementary (Sonoma),144,55086,65829,68429
Wilmar Union Elementary (Sonoma),12,58807,64568,67385
West Sonoma County Union High (Sonoma),101,64202,68610,67081
Cloverdale Unified (Sonoma),80,61162,68470,66325
Sonoma Valley Unified (Sonoma),198,61060,65909,66284
Montgomery Elementary (Sonoma),3,0,63838,66129
Windsor Unified (Sonoma),276,59892,63695,65678
West Side Union Elementary (Sonoma),9,0,64439,65369
Guerneville Elementary (Sonoma),15,0,59904,64950
Cinnabar Elementary (Sonoma),17,0,63704,64015
Cotati-Rohnert Park Unified (Sonoma),300,57823,62696,63905
Twin Hills Union Elementary (Sonoma),66,55605,61081,62529
Horicon Elementary (Sonoma),5,57871,57137,61639
Forestville Union Elementary (Sonoma),16,59294,60632,60971
Geyserville Unified (Sonoma),20,60529,60691,60871
Two Rock Union Elementary (Sonoma),10,62890,61229,57580
Kashia Elementary (Sonoma),1,0,54472,54472
Modesto City Schools (Stanislaus),1379,81720,90623,93066
Salida Union Elementary (Stanislaus),95,75092,82240,86885
Turlock Unified (Stanislaus),694,71062,80997,85120
Hart-Ransom Union Elementary (Stanislaus),55,0,80387,84474
Hickman Elementary (Stanislaus),47,69837,80028,83803
Ceres Unified (Stanislaus),670,70190,78954,82555
Stanislaus Union Elementary (Stanislaus),170,71462,81447,81276
Hughson Unified (Stanislaus),96,70424,81076,81070
Waterford Unified (Stanislaus),84,69242,77155,79693
Stanislaus County Office of Ed (Stanislaus),162,74616,78817,79529
Empire Union Elementary (Stanislaus),143,68916,76333,79499
Oakdale Unified (Stanislaus),242,68155,76121,79071
Keyes Union Elementary (Stanislaus),42,67298,79694,78795
Sylvan Union Elementary (Stanislaus),432,67655,75429,78093
Chatom Union Elementary (Stanislaus),28,68768,75832,75978
Riverbank Unified (Stanislaus),133,64428,73174,75761
Patterson Joint Unified (Stanislaus),314,62176,71576,75464
Newman-Crows Landing Unified (Stanislaus),145,65689,74701,73122
Roberts Ferry Union Elementary (Stanislaus),9,0,69083,67843
Gratton Elementary (Stanislaus),9,50913,59730,65965
Shiloh Elementary (Stanislaus),9,0,60124,63687
Denair Unified (Stanislaus),74,63050,60128,59611
Valley Home Joint Elementary (Stanislaus),8,52257,null,53920
Knights Ferry Elementary (Stanislaus),7,56465,51261,48985
Franklin Elementary (Sutter),22,69510,80941,80439
Yuba City Unified (Sutter),621,60668,73167,75835
Live Oak Unified (Sutter),99,61458,70633,73026
Sutter Union High (Sutter),33,59953,65462,68123
Sutter County Office of Ed. (Sutter),59,61742,68754,67594
Brittan Elementary (Sutter),21,68816,71939,67577
East Nicolaus Joint Union High (Sutter),15,63997,61797,65049
Marcum-Illinois Un Elementary (Sutter),10,44450,48935,49875
Browns Elementary (Sutter),10,0,null,46995
Red Bluff Union High (Tehama),90,69015,71935,75643
Lassen View Union Elementary (Tehama),16,0,69590,72625
Evergreen Union Elementary (Tehama),55,64171,68824,72125
Antelope Elementary (Tehama),38,63219,69385,70913
Gerber Union Elementary (Tehama),21,67812,69571,70531
Tehama County Office of Ed. (Tehama),23,58984,65619,68272
Corning Union Elementary (Tehama),104,58294,66382,68014
Red Bluff Union Elementary (Tehama),109,60329,64414,67642
Richfield Elementary (Tehama),12,0,65200,64999
Reeds Creek Elementary (Tehama),8,0,null,55176
Flournoy Union Elementary (Tehama),1,0,53905,53905
Mountain Valley Unified (Trinity),16,53111,null,63631
Southern Trinity Joint Unified (Trinity),11,54671,58995,59137
Douglas City Elementary (Trinity),11,50963,53355,56029
Tulare County Office of Ed. (Tulare),237,74265,88441,91658
Tulare Joint Union High (Tulare),248,69595,83528,85392
Tulare City Elementary (Tulare),499,72244,81695,84026
Porterville Unified (Tulare),687,71239,82921,83039
Strathmore Union Elementary (Tulare),35,59668,76278,82353
Terra Bella Union Elementary (Tulare),47,63080,77510,81966
Tipton Elementary (Tulare),27,64456,76009,79925
Dinuba Unified (Tulare),312,65331,77881,79857
Columbine Elementary (Tulare),9,73416,80797,79772
Lindsay Unified (Tulare),198,65306,76738,79644
Richgrove Elementary (Tulare),34,67299,77235,79595
Woodville Elementary (Tulare),21,65763,77580,79071
Sundale Union Elementary (Tulare),36,63629,78126,78315
Visalia Unified (Tulare),1175,64749,73249,75989
Pleasant View Elementary (Tulare),24,61235,74247,75938
Palo Verde Union Elementary (Tulare),26,66883,78442,75751
Farmersville Unified (Tulare),132,65969,73395,75113
Cutler-Orosi Joint Unified (Tulare),212,62457,74019,75065
Burton Elementary (Tulare),219,62358,71545,74946
Exeter Unified (Tulare),128,65861,71290,74322
Kings River Union Elementary (Tulare),23,69014,74399,73400
Earlimart Elementary (Tulare),80,62793,70450,73305
Woodlake Unified (Tulare),104,58506,68000,73252
Alta Vista Elementary (Tulare),28,65850,70632,72900
Pixley Union Elementary (Tulare),56,61243,68263,71888
Oak Valley Union Elementary (Tulare),28,57018,67887,70774
Rockford Elementary (Tulare),18,61329,67203,70679
Springville Union Elementary (Tulare),16,58469,65857,70081
Traver Joint Elementary (Tulare),11,58091,66564,69941
Monson-Sultana Jt Union Elem. (Tulare),21,64603,71391,68367
Sunnyside Union Elementary (Tulare),18,59755,65988,66655
Buena Vista Elementary (Tulare),10,55420,63296,66638
Sequoia Union Elementary (Tulare),16,58023,65837,64672
Saucelito Elementary (Tulare),5,52443,65323,64071
Liberty Elementary (Tulare),26,53718,59386,62251
Alpaugh Unified (Tulare),17,49720,60491,59898
Waukena Jt Union Elementary (Tulare),10,46832,59249,59670
Hope Elementary (Tulare),11,51119,55050,57114
Outside Creek Elementary (Tulare),4,46595,50135,53346
Stone Corral Elementary (Tulare),5,49545,51505,52273
Ducor Union Elementary (Tulare),11,53137,51253,52168
Three Rivers Union Elementary (Tulare),7,41849,45601,47139
Allensworth Elementary (Tulare),5,51204,42721,44189
Twain Harte-Long Barn Un Elem. (Tuolumne),15,70810,82081,85327
Sonora Union High (Tuolumne),46,65863,71137,74569
Curtis Creek Elementary (Tuolumne),23,59652,66424,64483
Big Oak Flat-Groveland Unified (Tuolumne),23,63428,62508,64430
Jamestown Elementary (Tuolumne),23,62927,64767,63311
Soulsbyville Elementary (Tuolumne),30,61598,63114,62992
Columbia Union Elementary (Tuolumne),26,55231,60790,62006
Hueneme Elementary (Ventura),403,80272,92783,93196
Oxnard Union High (Ventura),725,75554,90194,91581
Oak Park Unified (Ventura),201,73629,85414,88959
Conejo Valley Unified (Ventura),909,72230,83936,84606
Rio Elementary (Ventura),240,66030,78504,81239
Oxnard Elementary (Ventura),800,72267,81076,81201
Simi Valley Unified (Ventura),747,68723,78540,80731
Santa Paula Unified (Ventura),298,66562,77740,79608
Pleasant Valley School District (Ventura),296,67350,76695,78817
Ventura Unified (Ventura),800,68107,76589,77464
Mupu Elementary (Ventura),9,63172,null,74500
Ventura County Office of Ed. (Ventura),141,66742,74661,74136
Somis Union Elementary (Ventura),14,62454,70299,73476
Fillmore Unified (Ventura),191,65474,71712,72705
Moorpark Unified (Ventura),277,67759,70197,72354
Mesa Union Elementary (Ventura),30,71419,71210,71464
Briggs Elementary (Ventura),31,66196,70760,68190
Ojai Unified (Ventura),109,62560,64894,67056
Santa Clara Elementary (Ventura),2,55135,64070,57987
Washington Unified (Yolo),404,59003,71171,72656
Winters Joint Unified (Yolo),82,64551,69382,72321
Esparto Unified (Yolo),48,0,69721,72172
Davis Joint Unified (Yolo),453,67244,72256,70675
Woodland Joint Unified (Yolo),610,60968,69150,68811
Yolo County Office of Ed. (Yolo),35,58028,61188,63004
Wheatland Elementary (Yuba),66,75173,83602,81182
Marysville Joint Unified (Yuba),447,64386,75763,76268
Wheatland High (Yuba),35,0,71181,71480
Plumas Elementary (Yuba),73,53961,62094,63423
Yuba County Office of Ed. (Yuba),64,56992,57195,60126
Camptonville Elementary (Yuba),3,47190,50697,53816
