district,cds_code,county,report_type,enrolled_12,num_test_taker,avg_act_reading,avg_act_english,avg_act_math,avg_act_sci,num_over_21_score,percent_over_21_score,personal_income,population,per_capita_income,county_code,edp_365,current_expense_ada,current_expense_per_ada,LEA Type,teachers,avg_teacher_salary_13_14,avg_teacher_salary_17_18,avg_teacher_salary_18_19
Rialto Unified,67850,San Bernardino,S,524.0,63.0,18,16,18,18,15,23.81,91658300.0,2180085.0,42043.0,36.0,312574200.33,24043.8,13000.199649389862,Unified,1183.0,75614.0,84038.0,86338.0
Grossmont Union High,68130,San Diego,S,553.0,94.0,19,18,20,20,36,38.30,212748650.0,3338330.0,63729.0,37.0,228576307.36,15612.91,14640.21168123047,High,763.0,73414.0,84020.0,84316.0
San Juan Unified,67447,Sacramento,S,321.0,46.0,25,23,24,24,37,80.43,85775621.0,1552058.0,55266.0,34.0,465400260.12,37438.42,12431.08710570585,Unified,2071.0,71583.0,76673.0,78090.0
South San Francisco Unified,69070,San Mateo,S,315.0,21.0,24,24,24,22,17,80.95,102803127.0,766573.0,134107.0,41.0,106716398.9,7975.79,13380.041212218477,Unified,456.0,62602.0,75089.0,78059.0
Los Angeles Unified,64733,Los Angeles,S,904.0,122.0,25,26,25,24,101,82.79,653482910.0,10039107.0,65094.0,19.0,7447072658.68,454546.06,16383.53802622335,Unified,23670.0,68881.0,74789.0,78962.0
Grossmont Union High,68130,San Diego,S,406.0,56.0,22,21,20,21,30,53.57,212748650.0,3338330.0,63729.0,37.0,228576307.36,15612.91,14640.21168123047,High,763.0,73414.0,84020.0,84316.0
Merced Union High,65789,Merced,S,373.0,96.0,20,18,19,19,31,32.29,11406396.0,277680.0,41077.0,24.0,134689226.72,10152.23,13266.95974381983,High,582.0,66901.0,77330.0,79619.0
Visalia Unified,72256,Tulare,S,461.0,49.0,20,20,21,21,22,44.90,19973932.0,466195.0,42845.0,54.0,335148402.27,28001.350000000002,11969.008718151088,Unified,1175.0,64749.0,73249.0,75989.0
Placentia-Yorba Linda Unified,66647,Orange,S,462.0,71.0,25,24,25,24,57,80.28,227732561.0,3175692.0,71711.0,30.0,264542982.97,23981.07,11031.325248206189,Unified,1123.0,77275.0,85266.0,85428.0
Orange Unified,66621,Orange,S,526.0,42.0,24,24,24,23,29,69.05,227732561.0,3175692.0,71711.0,30.0,279528227.42,23846.18,11722.138615912487,Unified,1059.0,73765.0,83902.0,86774.0
West Sonoma County Union High,70607,Sonoma,S,131.0,22.0,24,22,22,23,13,59.09,32972432.0,494336.0,66700.0,49.0,23831571.02,1694.93,14060.504575410194,High,101.0,64202.0,68610.0,67081.0
El Monte Union High,64519,Los Angeles,S,397.0,114.0,19,18,20,19,42,36.84,653482910.0,10039107.0,65094.0,19.0,126330451.66,8158.6,15484.329622729389,High,322.0,72880.0,87588.0,88746.0
El Rancho Unified,64527,Los Angeles,S,592.0,218.0,19,18,19,19,62,28.44,653482910.0,10039107.0,65094.0,19.0,97185495.43,8070.19,12042.528791763269,Unified,397.0,69720.0,80688.0,81373.0
El Segundo Unified,64535,Los Angeles,S,292.0,109.0,25,25,24,24,78,71.56,653482910.0,10039107.0,65094.0,19.0,38493043.94,3407.92,11295.17240428179,Unified,172.0,71399.0,82856.0,84830.0
Saddleback Valley Unified,73635,Orange,S,559.0,113.0,23,23,23,23,75,66.37,227732561.0,3175692.0,71711.0,30.0,282361255.22,25249.34,11182.91627503927,Unified,1190.0,78959.0,84084.0,89371.0
Corona-Norco Unified,67033,Riverside,S,1083.0,190.0,23,21,22,22,111,58.42,104794676.0,2470546.0,42418.0,33.0,589661659.32,50642.48,11643.617360761164,Unified,2485.0,82178.0,97905.0,101255.0
Elk Grove Unified,67314,Sacramento,S,475.0,97.0,24,22,23,22,62,63.92,85775621.0,1552058.0,55266.0,34.0,722863463.98,60769.41,11895.186475893051,Unified,3202.0,71340.0,80261.0,81565.0
Hesperia Unified,75044,San Bernardino,S,113.0,37.0,20,18,17,17,10,27.03,91658300.0,2180085.0,42043.0,36.0,255270470.26,20924.98,12199.317287758458,Unified,1002.0,67156.0,81656.0,85362.0
Lawndale Elementary,64691,Los Angeles,S,126.0,96.0,17,17,18,17,19,19.79,653482910.0,10039107.0,65094.0,19.0,77038454.29,4972.06,15494.272854712131,Elementary,298.0,77666.0,88914.0,91826.0
Fontana Unified,67710,San Bernardino,S,142.0,113.0,13,11,14,13,0,0.00,91658300.0,2180085.0,42043.0,36.0,480303846.33,34702.74,13840.516522038317,Unified,1772.0,72272.0,84509.0,88170.0
Santa Maria Joint Union High,69310,Santa Barbara,S,536.0,58.0,21,20,22,21,29,50.00,29502767.0,446499.0,66076.0,42.0,101825115.66,8191.4,12430.734143125717,High,401.0,76671.0,86628.0,88901.0
Long Beach Unified,64725,Los Angeles,S,165.0,24.0,24,24,22,23,15,62.50,653482910.0,10039107.0,65094.0,19.0,901982941.19,68158.53,13233.603206964704,Unified,3302.0,81046.0,92033.0,94044.0
Escalon Unified,68502,San Joaquin,S,188.0,16.0,21,19,21,22,10,62.50,35926949.0,762148.0,47139.0,39.0,27169701.71,2605.12,10429.347481114115,Unified,138.0,65734.0,73837.0,73832.0
Escondido Union High,68106,San Diego,S,210.0,27.0,24,23,25,24,20,74.07,212748650.0,3338330.0,63729.0,37.0,99496061.02,6852.89,14518.846941947118,High,365.0,65567.0,78494.0,81232.0
Escondido Union High,68106,San Diego,S,580.0,137.0,19,17,18,19,38,27.74,212748650.0,3338330.0,63729.0,37.0,99496061.02,6852.89,14518.846941947118,High,365.0,65567.0,78494.0,81232.0
Placentia-Yorba Linda Unified,66647,Orange,S,355.0,83.0,24,23,23,23,57,68.67,227732561.0,3175692.0,71711.0,30.0,264542982.97,23981.07,11031.325248206189,Unified,1123.0,77275.0,85266.0,85428.0
Newport-Mesa Unified,66597,Orange,S,325.0,22.0,20,20,19,20,7,31.82,227732561.0,3175692.0,71711.0,30.0,305577935.29,19214.9,15903.175935862273,Unified,1004.0,83555.0,94378.0,96260.0
Los Angeles Unified,64733,Los Angeles,S,85.0,27.0,15,14,16,16,3,11.11,653482910.0,10039107.0,65094.0,19.0,7447072658.68,454546.06,16383.53802622335,Unified,23670.0,68881.0,74789.0,78962.0
Scott Valley Unified,76455,Siskiyou,S,43.0,27.0,20,20,21,21,11,40.74,2090773.0,43539.0,48021.0,47.0,8462531.57,634.91,13328.710478650519,Unified,39.0,54037.0,54945.0,56250.0
Sequoia Union High,69062,San Mateo,S,86.0,51.0,19,17,18,19,12,23.53,102803127.0,766573.0,134107.0,41.0,171759806.17,8378.73,20499.503644347056,High,574.0,87650.0,101580.0,105215.0
